Differences between version 2 (plotpoints2.txt) and version 3 (plotpoints3.txt) of the regional temperature anomalies 
employed by Ruosteenoja et al. (2003) (see 
http://www.ipcc-data.org/sres/scatter_plots/scatterplots_home.html and http://www.ipcc-data.org/sres/scatter_plots/csiro_error.html for more details).

The differences apply only to the CSIRO model, and are listed below (plotpoints3.txt - plotpoints2.txt):

                                               A2,    B2,  A1FI,    B1
REGION  6, TIME SLICE 2010-2039, JUN-AUG::  0.08,  0.06,  0.09,  0.09
REGION  6, TIME SLICE 2010-2039, SEP-NOV::  0.01,  0.02,  0.01,  0.01
REGION  6, TIME SLICE 2040-2069, DEC-FEB::  0.15,  0.12,  0.19,  0.10
REGION  6, TIME SLICE 2040-2069, MAR-MAY:: -0.05, -0.05, -0.07, -0.04
REGION  6, TIME SLICE 2040-2069, JUN-AUG::  0.27,  0.08,  0.34,  0.09
REGION  6, TIME SLICE 2040-2069, SEP-NOV::  0.02,  0.01,  0.02,  0.01
REGION  6, TIME SLICE 2070-2099, DEC-FEB::  0.25,  0.20,  0.31,  0.19
REGION  6, TIME SLICE 2070-2099, MAR-MAY:: -0.13, -0.13, -0.16, -0.12
REGION  6, TIME SLICE 2070-2099, JUN-AUG::  0.42,  0.20,  0.52,  0.18
REGION  6, TIME SLICE 2070-2099, SEP-NOV::  0.03,  0.02,  0.04,  0.03
REGION  7, TIME SLICE 2010-2039, DEC-FEB::  0.01,  0.01,  0.01,  0.02
REGION  7, TIME SLICE 2010-2039, MAR-MAY:: -0.01, -0.09, -0.01, -0.05
REGION  7, TIME SLICE 2010-2039, JUN-AUG::  0.03,  0.01,  0.03,  0.03
REGION  7, TIME SLICE 2010-2039, SEP-NOV:: -0.01, -0.02, -0.01, -0.03
REGION  7, TIME SLICE 2040-2069, DEC-FEB::  0.01,  0.00,  0.01, -0.00
REGION  7, TIME SLICE 2040-2069, MAR-MAY::  0.16,  0.09,  0.20,  0.05
REGION  7, TIME SLICE 2040-2069, JUN-AUG::  0.05,  0.02,  0.06,  0.03
REGION  7, TIME SLICE 2040-2069, SEP-NOV:: -0.02, -0.03, -0.02, -0.02
REGION  7, TIME SLICE 2070-2099, DEC-FEB::  0.00,  0.01,  0.00,  0.01
REGION  7, TIME SLICE 2070-2099, MAR-MAY::  0.22,  0.13,  0.27,  0.15
REGION  7, TIME SLICE 2070-2099, JUN-AUG::  0.05,  0.07,  0.06,  0.07
REGION  7, TIME SLICE 2070-2099, SEP-NOV:: -0.06, -0.03, -0.08, -0.04
REGION  8, TIME SLICE 2010-2039, DEC-FEB::  0.05,  0.04,  0.06,  0.06
REGION  8, TIME SLICE 2010-2039, MAR-MAY::  0.02, -0.05,  0.02, -0.02
REGION  8, TIME SLICE 2010-2039, JUN-AUG:: -0.10, -0.14, -0.10, -0.08
REGION  8, TIME SLICE 2010-2039, SEP-NOV:: -0.05, -0.05, -0.05, -0.05
REGION  8, TIME SLICE 2040-2069, DEC-FEB::  0.07,  0.07,  0.08,  0.05
REGION  8, TIME SLICE 2040-2069, MAR-MAY::  0.10,  0.06,  0.13,  0.06
REGION  8, TIME SLICE 2040-2069, JUN-AUG:: -0.19, -0.19, -0.24, -0.18
REGION  8, TIME SLICE 2040-2069, SEP-NOV:: -0.07, -0.08, -0.09, -0.07
REGION  8, TIME SLICE 2070-2099, DEC-FEB::  0.11,  0.08,  0.13,  0.10
REGION  8, TIME SLICE 2070-2099, MAR-MAY::  0.13,  0.09,  0.16,  0.09
REGION  8, TIME SLICE 2070-2099, JUN-AUG:: -0.38, -0.33, -0.47, -0.26
REGION  8, TIME SLICE 2070-2099, SEP-NOV:: -0.15, -0.13, -0.19, -0.07
REGION  9, TIME SLICE 2010-2039, DEC-FEB::  0.08,  0.06,  0.08,  0.08
REGION  9, TIME SLICE 2010-2039, MAR-MAY:: -0.03, -0.06, -0.04, -0.05
REGION  9, TIME SLICE 2010-2039, JUN-AUG:: -0.01, -0.02, -0.02, -0.02
REGION  9, TIME SLICE 2010-2039, SEP-NOV::  0.01, -0.00,  0.01, -0.00
REGION  9, TIME SLICE 2040-2069, DEC-FEB::  0.12,  0.12,  0.16,  0.10
REGION  9, TIME SLICE 2040-2069, MAR-MAY::  0.03,  0.02,  0.04,  0.01
REGION  9, TIME SLICE 2040-2069, JUN-AUG:: -0.03, -0.02, -0.03, -0.04
REGION  9, TIME SLICE 2040-2069, SEP-NOV::  0.00,  0.01,  0.00,  0.01
REGION  9, TIME SLICE 2070-2099, DEC-FEB::  0.20,  0.16,  0.25,  0.17
REGION  9, TIME SLICE 2070-2099, MAR-MAY::  0.08,  0.06,  0.10,  0.03
REGION  9, TIME SLICE 2070-2099, JUN-AUG:: -0.08, -0.08, -0.10, -0.08
REGION  9, TIME SLICE 2070-2099, SEP-NOV::  0.00, -0.01,  0.01,  0.01
REGION 10, TIME SLICE 2010-2039, DEC-FEB:: -0.00, -0.00, -0.00, -0.01
REGION 10, TIME SLICE 2010-2039, MAR-MAY:: -0.04, -0.03, -0.04, -0.04
REGION 10, TIME SLICE 2010-2039, JUN-AUG:: -0.06, -0.04, -0.06, -0.04
REGION 10, TIME SLICE 2010-2039, SEP-NOV:: -0.01, -0.01, -0.01, -0.02
REGION 10, TIME SLICE 2040-2069, DEC-FEB:: -0.00, -0.00, -0.00, -0.00
REGION 10, TIME SLICE 2040-2069, MAR-MAY:: -0.05, -0.05, -0.06, -0.06
REGION 10, TIME SLICE 2040-2069, JUN-AUG:: -0.10, -0.09, -0.12, -0.08
REGION 10, TIME SLICE 2040-2069, SEP-NOV:: -0.01, -0.01, -0.02, -0.01
REGION 10, TIME SLICE 2070-2099, DEC-FEB:: -0.01, -0.01, -0.02, -0.02
REGION 10, TIME SLICE 2070-2099, MAR-MAY:: -0.12, -0.11, -0.15, -0.08
REGION 10, TIME SLICE 2070-2099, JUN-AUG:: -0.14, -0.12, -0.17, -0.10
REGION 10, TIME SLICE 2070-2099, SEP-NOV:: -0.01, -0.01, -0.01,  0.00
REGION 11, TIME SLICE 2010-2039, DEC-FEB:: -0.02, -0.02, -0.02, -0.02
REGION 11, TIME SLICE 2010-2039, MAR-MAY:: -0.00, -0.01, -0.00, -0.00
REGION 11, TIME SLICE 2010-2039, JUN-AUG:: -0.00, -0.01, -0.00, -0.01
REGION 11, TIME SLICE 2010-2039, SEP-NOV:: -0.02, -0.02, -0.02, -0.02
REGION 11, TIME SLICE 2040-2069, DEC-FEB:: -0.03, -0.03, -0.04, -0.04
REGION 11, TIME SLICE 2040-2069, MAR-MAY:: -0.01, -0.01, -0.01, -0.01
REGION 11, TIME SLICE 2040-2069, JUN-AUG:: -0.01, -0.01, -0.01, -0.01
REGION 11, TIME SLICE 2040-2069, SEP-NOV:: -0.03, -0.03, -0.04, -0.03
REGION 11, TIME SLICE 2070-2099, DEC-FEB:: -0.06, -0.05, -0.08, -0.05
REGION 11, TIME SLICE 2070-2099, MAR-MAY:: -0.02, -0.02, -0.03, -0.02
REGION 11, TIME SLICE 2070-2099, JUN-AUG:: -0.04, -0.03, -0.05, -0.02
REGION 11, TIME SLICE 2070-2099, SEP-NOV:: -0.07, -0.05, -0.09, -0.05
REGION 12, TIME SLICE 2010-2039, DEC-FEB:: -0.00, -0.01, -0.00, -0.02
REGION 12, TIME SLICE 2010-2039, MAR-MAY:: -0.00, -0.00, -0.00, -0.01
REGION 12, TIME SLICE 2010-2039, JUN-AUG::  0.00, -0.00,  0.00, -0.01
REGION 12, TIME SLICE 2010-2039, SEP-NOV:: -0.02, -0.01, -0.02, -0.04
REGION 12, TIME SLICE 2040-2069, DEC-FEB:: -0.02, -0.03, -0.02, -0.05
REGION 12, TIME SLICE 2040-2069, MAR-MAY:: -0.01, -0.00, -0.02, -0.01
REGION 12, TIME SLICE 2040-2069, JUN-AUG:: -0.01, -0.00, -0.01, -0.01
REGION 12, TIME SLICE 2040-2069, SEP-NOV:: -0.01, -0.01, -0.02, -0.04
REGION 12, TIME SLICE 2070-2099, DEC-FEB:: -0.05, -0.05, -0.06, -0.03
REGION 12, TIME SLICE 2070-2099, MAR-MAY:: -0.04, -0.03, -0.05, -0.03
REGION 12, TIME SLICE 2070-2099, JUN-AUG:: -0.02, -0.01, -0.03, -0.02
REGION 12, TIME SLICE 2070-2099, SEP-NOV:: -0.03, -0.03, -0.03, -0.01
REGION 13, TIME SLICE 2010-2039, DEC-FEB::  0.02,  0.02,  0.03,  0.03
REGION 13, TIME SLICE 2010-2039, MAR-MAY:: -0.06, -0.04, -0.07, -0.03
REGION 13, TIME SLICE 2010-2039, JUN-AUG::  0.20,  0.24,  0.22,  0.17
REGION 13, TIME SLICE 2010-2039, SEP-NOV::  0.01, -0.00,  0.02, -0.01
REGION 13, TIME SLICE 2040-2069, DEC-FEB::  0.03,  0.03,  0.04,  0.02
REGION 13, TIME SLICE 2040-2069, MAR-MAY::  0.22,  0.23,  0.28,  0.15
REGION 13, TIME SLICE 2040-2069, JUN-AUG::  0.37,  0.26,  0.47,  0.28
REGION 13, TIME SLICE 2040-2069, SEP-NOV::  0.01, -0.00,  0.01,  0.01
REGION 13, TIME SLICE 2070-2099, DEC-FEB::  0.07,  0.03,  0.09,  0.04
REGION 13, TIME SLICE 2070-2099, MAR-MAY::  0.46,  0.25,  0.57,  0.28
REGION 13, TIME SLICE 2070-2099, JUN-AUG::  0.49,  0.39,  0.61,  0.38
REGION 13, TIME SLICE 2070-2099, SEP-NOV::  0.00,  0.00,  0.00,  0.00
REGION 14, TIME SLICE 2010-2039, DEC-FEB:: -0.00, -0.01, -0.00, -0.02
REGION 14, TIME SLICE 2010-2039, MAR-MAY::  0.08,  0.04,  0.08,  0.00
REGION 14, TIME SLICE 2010-2039, JUN-AUG:: -0.03, -0.11, -0.03, -0.10
REGION 14, TIME SLICE 2010-2039, SEP-NOV:: -0.03, -0.06, -0.03, -0.06
REGION 14, TIME SLICE 2040-2069, DEC-FEB::  0.00, -0.00,  0.00,  0.00
REGION 14, TIME SLICE 2040-2069, MAR-MAY::  0.21,  0.17,  0.27,  0.17
REGION 14, TIME SLICE 2040-2069, JUN-AUG:: -0.11, -0.12, -0.13, -0.12
