n, T, pr, stat, Scenario, Region, Label, Mask, Season, Year,
743,2.5,9,75th percentile,rcp26,Northern Europe, NEU, land,BW,2065,
744,4.1,17,Max,rcp26,Northern Europe, NEU, land,BW,2065,
745,-8.0,-3,Min,rcp26,Northern Europe, NEU, land,BW,2100,
746,1.5,3,25th percentile,rcp26,Northern Europe, NEU, land,BW,2100,
747,1.8,5,median,rcp26,Northern Europe, NEU, land,BW,2100,
748,2.5,11,75th percentile,rcp26,Northern Europe, NEU, land,BW,2100,
749,3.8,16,Max,rcp26,Northern Europe, NEU, land,BW,2100,
750,0.0,-8,Min,rcp26,Northern Europe, NEU, land,BS,2035,
751,0.6,0,25th percentile,rcp26,Northern Europe, NEU, land,BS,2035,
752,1.0,3,median,rcp26,Northern Europe, NEU, land,BS,2035,
753,1.3,5,75th percentile,rcp26,Northern Europe, NEU, land,BS,2035,
754,2.7,10,Max,rcp26,Northern Europe, NEU, land,BS,2035,
755,-1.1,-5,Min,rcp26,Northern Europe, NEU, land,BS,2065,
756,0.9,0,25th percentile,rcp26,Northern Europe, NEU, land,BS,2065,
757,1.3,4,median,rcp26,Northern Europe, NEU, land,BS,2065,
758,2.0,7,75th percentile,rcp26,Northern Europe, NEU, land,BS,2065,
759,3.6,20,Max,rcp26,Northern Europe, NEU, land,BS,2065,
760,-2.5,-12,Min,rcp26,Northern Europe, NEU, land,BS,2100,
761,0.7,2,25th percentile,rcp26,Northern Europe, NEU, land,BS,2100,
762,1.2,4,median,rcp26,Northern Europe, NEU, land,BS,2100,
763,1.8,7,75th percentile,rcp26,Northern Europe, NEU, land,BS,2100,
764,3.6,14,Max,rcp26,Northern Europe, NEU, land,BS,2100,
765,0.4,-1,Min,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2035,
766,1.0,2,25th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2035,
767,1.2,4,median,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2035,
768,1.4,6,75th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2035,
769,2.7,10,Max,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2035,
770,-1.1,-2,Min,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2065,
771,1.3,5,25th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2065,
772,1.8,6,median,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2065,
773,2.4,9,75th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2065,
774,4.4,14,Max,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2065,
775,-2.5,-4,Min,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2100,
776,1.3,4,25th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2100,
777,1.7,7,median,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2100,
778,2.5,9,75th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2100,
779,4.4,16,Max,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2100,
780,0.2,-1,Min,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2035,
781,1.2,3,25th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2035,
782,1.5,5,median,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2035,
783,1.8,7,75th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2035,
784,3.3,13,Max,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2035,
785,-1.1,-3,Min,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2065,
786,1.9,5,25th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2065,
787,2.3,7,median,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2065,
788,3.0,12,75th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2065,
789,5.3,18,Max,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2065,
790,-3.5,-9,Min,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2100,
791,1.6,4,25th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2100,
792,2.4,9,median,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2100,
793,3.2,13,75th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2100,
794,5.0,20,Max,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2100,
795,0.3,-1,Min,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2035,
796,0.7,2,25th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2035,
797,1.0,4,median,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2035,
798,1.3,5,75th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2035,
799,2.5,10,Max,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2035,
800,-0.4,0,Min,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2065,
801,0.8,4,25th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2065,
802,1.4,5,median,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2065,
803,1.7,8,75th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2065,
804,3.9,13,Max,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2065,
805,-1.2,-1,Min,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2100,
806,0.7,3,25th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2100,
807,1.2,5,median,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2100,
808,1.9,7,75th percentile,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2100,
809,4.1,14,Max,rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2100,
810,0.5,0,Min,rcp26,Alaska/NW Canada, ALA, land,Annual,2035,
811,1.1,4,25th percentile,rcp26,Alaska/NW Canada, ALA, land,Annual,2035,
812,1.4,6,median,rcp26,Alaska/NW Canada, ALA, land,Annual,2035,
813,1.8,7,75th percentile,rcp26,Alaska/NW Canada, ALA, land,Annual,2035,
814,2.7,14,Max,rcp26,Alaska/NW Canada, ALA, land,Annual,2035,
815,0.6,0,Min,rcp26,Alaska/NW Canada, ALA, land,Annual,2065,
816,1.4,6,25th percentile,rcp26,Alaska/NW Canada, ALA, land,Annual,2065,
817,1.9,8,median,rcp26,Alaska/NW Canada, ALA, land,Annual,2065,
818,2.5,11,75th percentile,rcp26,Alaska/NW Canada, ALA, land,Annual,2065,
819,4.1,23,Max,rcp26,Alaska/NW Canada, ALA, land,Annual,2065,
820,-0.5,-2,Min,rcp26,Alaska/NW Canada, ALA, land,Annual,2100,
821,1.2,5,25th percentile,rcp26,Alaska/NW Canada, ALA, land,Annual,2100,
822,1.9,8,median,rcp26,Alaska/NW Canada, ALA, land,Annual,2100,
823,2.6,10,75th percentile,rcp26,Alaska/NW Canada, ALA, land,Annual,2100,
824,4.0,25,Max,rcp26,Alaska/NW Canada, ALA, land,Annual,2100,
825,0.3,-2,Min,rcp26,Alaska/NW Canada, ALA, land,BW,2035,
826,1.1,2,25th percentile,rcp26,Alaska/NW Canada, ALA, land,BW,2035,
827,2.0,7,median,rcp26,Alaska/NW Canada, ALA, land,BW,2035,
828,2.6,9,75th percentile,rcp26,Alaska/NW Canada, ALA, land,BW,2035,
829,3.5,17,Max,rcp26,Alaska/NW Canada, ALA, land,BW,2035,
830,0.3,-2,Min,rcp26,Alaska/NW Canada, ALA, land,BW,2065,
831,1.8,5,25th percentile,rcp26,Alaska/NW Canada, ALA, land,BW,2065,
832,2.7,10,median,rcp26,Alaska/NW Canada, ALA, land,BW,2065,
833,3.4,14,75th percentile,rcp26,Alaska/NW Canada, ALA, land,BW,2065,
834,5.6,25,Max,rcp26,Alaska/NW Canada, ALA, land,BW,2065,
835,0.2,-2,Min,rcp26,Alaska/NW Canada, ALA, land,BW,2100,
836,1.6,5,25th percentile,rcp26,Alaska/NW Canada, ALA, land,BW,2100,
837,2.3,8,median,rcp26,Alaska/NW Canada, ALA, land,BW,2100,
838,3.6,14,75th percentile,rcp26,Alaska/NW Canada, ALA, land,BW,2100,
839,5.8,25,Max,rcp26,Alaska/NW Canada, ALA, land,BW,2100,
840,0.3,-1,Min,rcp26,Alaska/NW Canada, ALA, land,BS,2035,
841,0.7,4,25th percentile,rcp26,Alaska/NW Canada, ALA, land,BS,2035,
842,0.9,6,median,rcp26,Alaska/NW Canada, ALA, land,BS,2035,
843,1.5,7,75th percentile,rcp26,Alaska/NW Canada, ALA, land,BS,2035,
844,3.1,15,Max,rcp26,Alaska/NW Canada, ALA, land,BS,2035,
845,0.4,-1,Min,rcp26,Alaska/NW Canada, ALA, land,BS,2065,
846,0.8,4,25th percentile,rcp26,Alaska/NW Canada, ALA, land,BS,2065,
847,1.5,8,median,rcp26,Alaska/NW Canada, ALA, land,BS,2065,
848,2.1,10,75th percentile,rcp26,Alaska/NW Canada, ALA, land,BS,2065,
849,3.5,24,Max,rcp26,Alaska/NW Canada, ALA, land,BS,2065,
850,-0.3,-7,Min,rcp26,Alaska/NW Canada, ALA, land,BS,2100,
851,0.7,5,25th percentile,rcp26,Alaska/NW Canada, ALA, land,BS,2100,
852,1.2,7,median,rcp26,Alaska/NW Canada, ALA, land,BS,2100,
853,2.2,11,75th percentile,rcp26,Alaska/NW Canada, ALA, land,BS,2100,
854,3.6,27,Max,rcp26,Alaska/NW Canada, ALA, land,BS,2100,
855,0.3,2,Min,rcp26,North Asia, NAS, land,Annual,2035,
856,0.9,3,25th percentile,rcp26,North Asia, NAS, land,Annual,2035,
857,1.3,5,median,rcp26,North Asia, NAS, land,Annual,2035,
858,1.7,8,75th percentile,rcp26,North Asia, NAS, land,Annual,2035,
859,2.9,14,Max,rcp26,North Asia, NAS, land,Annual,2035,
860,-0.2,1,Min,rcp26,North Asia, NAS, land,Annual,2065,
861,1.4,5,25th percentile,rcp26,North Asia, NAS, land,Annual,2065,
862,1.7,7,median,rcp26,North Asia, NAS, land,Annual,2065,
863,2.3,8,75th percentile,rcp26,North Asia, NAS, land,Annual,2065,
864,4.4,25,Max,rcp26,North Asia, NAS, land,Annual,2065,
865,-1.7,-2,Min,rcp26,North Asia, NAS, land,Annual,2100,
866,1.2,5,25th percentile,rcp26,North Asia, NAS, land,Annual,2100,
867,1.6,7,median,rcp26,North Asia, NAS, land,Annual,2100,
868,2.4,9,75th percentile,rcp26,North Asia, NAS, land,Annual,2100,
869,4.3,24,Max,rcp26,North Asia, NAS, land,Annual,2100,
870,-0.1,2,Min,rcp26,North Asia, NAS, land,BW,2035,
871,0.9,5,25th percentile,rcp26,North Asia, NAS, land,BW,2035,
872,1.6,7,median,rcp26,North Asia, NAS, land,BW,2035,
873,2.1,10,75th percentile,rcp26,North Asia, NAS, land,BW,2035,
874,3.4,18,Max,rcp26,North Asia, NAS, land,BW,2035,
875,-0.4,0,Min,rcp26,North Asia, NAS, land,BW,2065,
876,1.6,7,25th percentile,rcp26,North Asia, NAS, land,BW,2065,
877,2.1,9,median,rcp26,North Asia, NAS, land,BW,2065,
878,2.4,13,75th percentile,rcp26,North Asia, NAS, land,BW,2065,
879,5.7,32,Max,rcp26,North Asia, NAS, land,BW,2065,
880,-1.9,1,Min,rcp26,North Asia, NAS, land,BW,2100,
881,1.4,7,25th percentile,rcp26,North Asia, NAS, land,BW,2100,
882,2.0,10,median,rcp26,North Asia, NAS, land,BW,2100,
883,2.7,13,75th percentile,rcp26,North Asia, NAS, land,BW,2100,
884,5.4,29,Max,rcp26,North Asia, NAS, land,BW,2100,
885,0.3,1,Min,rcp26,North Asia, NAS, land,BS,2035,
886,0.7,2,25th percentile,rcp26,North Asia, NAS, land,BS,2035,
887,1.1,4,median,rcp26,North Asia, NAS, land,BS,2035,
888,1.5,6,75th percentile,rcp26,North Asia, NAS, land,BS,2035,
889,2.7,12,Max,rcp26,North Asia, NAS, land,BS,2035,
890,0.3,-2,Min,rcp26,North Asia, NAS, land,BS,2065,
891,0.9,4,25th percentile,rcp26,North Asia, NAS, land,BS,2065,
892,1.4,5,median,rcp26,North Asia, NAS, land,BS,2065,
893,2.0,8,75th percentile,rcp26,North Asia, NAS, land,BS,2065,
894,3.8,22,Max,rcp26,North Asia, NAS, land,BS,2065,
895,-0.7,-5,Min,rcp26,North Asia, NAS, land,BS,2100,
896,0.8,4,25th percentile,rcp26,North Asia, NAS, land,BS,2100,
897,1.3,6,median,rcp26,North Asia, NAS, land,BS,2100,
898,2.1,8,75th percentile,rcp26,North Asia, NAS, land,BS,2100,
899,3.8,21,Max,rcp26,North Asia, NAS, land,BS,2100,
900,0.3,-3,Min,rcp26,North Indian Ocean, SAS, sea,Annual,2035,
901,0.5,-1,25th percentile,rcp26,North Indian Ocean, SAS, sea,Annual,2035,
902,0.5,3,median,rcp26,North Indian Ocean, SAS, sea,Annual,2035,
903,0.6,5,75th percentile,rcp26,North Indian Ocean, SAS, sea,Annual,2035,
904,1.0,18,Max,rcp26,North Indian Ocean, SAS, sea,Annual,2035,
905,0.5,-4,Min,rcp26,North Indian Ocean, SAS, sea,Annual,2065,
906,0.6,-2,25th percentile,rcp26,North Indian Ocean, SAS, sea,Annual,2065,
907,0.8,5,median,rcp26,North Indian Ocean, SAS, sea,Annual,2065,
908,1.1,9,75th percentile,rcp26,North Indian Ocean, SAS, sea,Annual,2065,
909,1.4,23,Max,rcp26,North Indian Ocean, SAS, sea,Annual,2065,
910,0.3,-11,Min,rcp26,North Indian Ocean, SAS, sea,Annual,2100,
911,0.6,1,25th percentile,rcp26,North Indian Ocean, SAS, sea,Annual,2100,
912,0.7,6,median,rcp26,North Indian Ocean, SAS, sea,Annual,2100,
913,1.1,9,75th percentile,rcp26,North Indian Ocean, SAS, sea,Annual,2100,
914,1.7,23,Max,rcp26,North Indian Ocean, SAS, sea,Annual,2100,
915,0.3,-9,Min,rcp26,North Indian Ocean, SAS, sea,BW,2035,
916,0.5,0,25th percentile,rcp26,North Indian Ocean, SAS, sea,BW,2035,
917,0.5,4,median,rcp26,North Indian Ocean, SAS, sea,BW,2035,
918,0.7,10,75th percentile,rcp26,North Indian Ocean, SAS, sea,BW,2035,
919,1.0,19,Max,rcp26,North Indian Ocean, SAS, sea,BW,2035,
920,0.3,-15,Min,rcp26,North Indian Ocean, SAS, sea,BW,2065,
921,0.7,-2,25th percentile,rcp26,North Indian Ocean, SAS, sea,BW,2065,
922,0.8,5,median,rcp26,North Indian Ocean, SAS, sea,BW,2065,
923,1.1,13,75th percentile,rcp26,North Indian Ocean, SAS, sea,BW,2065,
924,1.4,27,Max,rcp26,North Indian Ocean, SAS, sea,BW,2065,
925,0.3,-17,Min,rcp26,North Indian Ocean, SAS, sea,BW,2100,
926,0.5,1,25th percentile,rcp26,North Indian Ocean, SAS, sea,BW,2100,
927,0.8,8,median,rcp26,North Indian Ocean, SAS, sea,BW,2100,
928,1.1,14,75th percentile,rcp26,North Indian Ocean, SAS, sea,BW,2100,
929,1.7,28,Max,rcp26,North Indian Ocean, SAS, sea,BW,2100,
930,0.3,-6,Min,rcp26,North Indian Ocean, SAS, sea,BS,2035,
931,0.5,-1,25th percentile,rcp26,North Indian Ocean, SAS, sea,BS,2035,
932,0.5,2,median,rcp26,North Indian Ocean, SAS, sea,BS,2035,
933,0.7,6,75th percentile,rcp26,North Indian Ocean, SAS, sea,BS,2035,
934,1.0,18,Max,rcp26,North Indian Ocean, SAS, sea,BS,2035,
935,0.5,-8,Min,rcp26,North Indian Ocean, SAS, sea,BS,2065,
936,0.7,1,25th percentile,rcp26,North Indian Ocean, SAS, sea,BS,2065,
937,0.7,3,median,rcp26,North Indian Ocean, SAS, sea,BS,2065,
938,1.0,8,75th percentile,rcp26,North Indian Ocean, SAS, sea,BS,2065,
939,1.5,27,Max,rcp26,North Indian Ocean, SAS, sea,BS,2065,
940,0.2,-16,Min,rcp26,North Indian Ocean, SAS, sea,BS,2100,
941,0.6,1,25th percentile,rcp26,North Indian Ocean, SAS, sea,BS,2100,
942,0.7,4,median,rcp26,North Indian Ocean, SAS, sea,BS,2100,
943,1.0,7,75th percentile,rcp26,North Indian Ocean, SAS, sea,BS,2100,
944,1.7,17,Max,rcp26,North Indian Ocean, SAS, sea,BS,2100,
945,0.4,-12,Min,rcp26,Northeast Brazil, NEB, land,Annual,2035,
946,0.6,-6,25th percentile,rcp26,Northeast Brazil, NEB, land,Annual,2035,
947,0.8,-1,median,rcp26,Northeast Brazil, NEB, land,Annual,2035,
948,0.9,4,75th percentile,rcp26,Northeast Brazil, NEB, land,Annual,2035,
949,1.3,11,Max,rcp26,Northeast Brazil, NEB, land,Annual,2035,
950,0.6,-15,Min,rcp26,Northeast Brazil, NEB, land,Annual,2065,
951,0.8,-7,25th percentile,rcp26,Northeast Brazil, NEB, land,Annual,2065,
952,1.1,-2,median,rcp26,Northeast Brazil, NEB, land,Annual,2065,
953,1.3,1,75th percentile,rcp26,Northeast Brazil, NEB, land,Annual,2065,
954,2.1,15,Max,rcp26,Northeast Brazil, NEB, land,Annual,2065,
955,0.3,-19,Min,rcp26,Northeast Brazil, NEB, land,Annual,2100,
956,0.8,-5,25th percentile,rcp26,Northeast Brazil, NEB, land,Annual,2100,
957,1.0,-2,median,rcp26,Northeast Brazil, NEB, land,Annual,2100,
958,1.3,3,75th percentile,rcp26,Northeast Brazil, NEB, land,Annual,2100,
959,2.0,20,Max,rcp26,Northeast Brazil, NEB, land,Annual,2100,
960,0.2,-12,Min,rcp26,Northeast Brazil, NEB, land,BW,2035,
961,0.6,-7,25th percentile,rcp26,Northeast Brazil, NEB, land,BW,2035,
962,0.8,-1,median,rcp26,Northeast Brazil, NEB, land,BW,2035,
963,0.9,5,75th percentile,rcp26,Northeast Brazil, NEB, land,BW,2035,
964,1.4,13,Max,rcp26,Northeast Brazil, NEB, land,BW,2035,
965,0.6,-11,Min,rcp26,Northeast Brazil, NEB, land,BW,2065,
966,0.8,-6,25th percentile,rcp26,Northeast Brazil, NEB, land,BW,2065,
967,1.0,-1,median,rcp26,Northeast Brazil, NEB, land,BW,2065,
968,1.2,4,75th percentile,rcp26,Northeast Brazil, NEB, land,BW,2065,
969,1.8,16,Max,rcp26,Northeast Brazil, NEB, land,BW,2065,
970,0.1,-14,Min,rcp26,Northeast Brazil, NEB, land,BW,2100,
971,0.7,-4,25th percentile,rcp26,Northeast Brazil, NEB, land,BW,2100,
972,1.0,-2,median,rcp26,Northeast Brazil, NEB, land,BW,2100,
973,1.2,4,75th percentile,rcp26,Northeast Brazil, NEB, land,BW,2100,
974,2.2,18,Max,rcp26,Northeast Brazil, NEB, land,BW,2100,
975,0.1,-22,Min,rcp26,Northeast Brazil, NEB, land,BS,2035,
976,0.7,-9,25th percentile,rcp26,Northeast Brazil, NEB, land,BS,2035,
977,0.8,-3,median,rcp26,Northeast Brazil, NEB, land,BS,2035,
978,0.9,1,75th percentile,rcp26,Northeast Brazil, NEB, land,BS,2035,
979,1.5,15,Max,rcp26,Northeast Brazil, NEB, land,BS,2035,
980,0.6,-24,Min,rcp26,Northeast Brazil, NEB, land,BS,2065,
981,0.9,-12,25th percentile,rcp26,Northeast Brazil, NEB, land,BS,2065,
982,1.1,-6,median,rcp26,Northeast Brazil, NEB, land,BS,2065,
983,1.3,1,75th percentile,rcp26,Northeast Brazil, NEB, land,BS,2065,
984,2.4,16,Max,rcp26,Northeast Brazil, NEB, land,BS,2065,
985,0.1,-31,Min,rcp26,Northeast Brazil, NEB, land,BS,2100,
986,0.8,-11,25th percentile,rcp26,Northeast Brazil, NEB, land,BS,2100,
987,1.1,-4,median,rcp26,Northeast Brazil, NEB, land,BS,2100,
988,1.4,2,75th percentile,rcp26,Northeast Brazil, NEB, land,BS,2100,
989,2.0,21,Max,rcp26,Northeast Brazil, NEB, land,BS,2100,
990,0.5,-12,Min,rcp26,South America: Amazon, AMZ, land,Annual,2035,
991,0.7,-3,25th percentile,rcp26,South America: Amazon, AMZ, land,Annual,2035,
992,0.8,0,median,rcp26,South America: Amazon, AMZ, land,Annual,2035,
993,1.0,1,75th percentile,rcp26,South America: Amazon, AMZ, land,Annual,2035,
994,1.8,5,Max,rcp26,South America: Amazon, AMZ, land,Annual,2035,
995,0.7,-14,Min,rcp26,South America: Amazon, AMZ, land,Annual,2065,
996,0.9,-3,25th percentile,rcp26,South America: Amazon, AMZ, land,Annual,2065,
997,1.1,0,median,rcp26,South America: Amazon, AMZ, land,Annual,2065,
998,1.4,1,75th percentile,rcp26,South America: Amazon, AMZ, land,Annual,2065,
999,2.5,5,Max,rcp26,South America: Amazon, AMZ, land,Annual,2065,
1000,0.3,-19,Min,rcp26,South America: Amazon, AMZ, land,Annual,2100,
1001,0.9,-3,25th percentile,rcp26,South America: Amazon, AMZ, land,Annual,2100,
1002,1.1,-1,median,rcp26,South America: Amazon, AMZ, land,Annual,2100,
1003,1.4,0,75th percentile,rcp26,South America: Amazon, AMZ, land,Annual,2100,
1004,2.8,5,Max,rcp26,South America: Amazon, AMZ, land,Annual,2100,
1005,0.4,-12,Min,rcp26,South America: Amazon, AMZ, land,BW,2035,
1006,0.7,-3,25th percentile,rcp26,South America: Amazon, AMZ, land,BW,2035,
1007,0.8,0,median,rcp26,South America: Amazon, AMZ, land,BW,2035,
1008,0.9,1,75th percentile,rcp26,South America: Amazon, AMZ, land,BW,2035,
1009,1.6,5,Max,rcp26,South America: Amazon, AMZ, land,BW,2035,
1010,0.6,-10,Min,rcp26,South America: Amazon, AMZ, land,BW,2065,
1011,0.8,-3,25th percentile,rcp26,South America: Amazon, AMZ, land,BW,2065,
1012,1.0,-1,median,rcp26,South America: Amazon, AMZ, land,BW,2065,
1013,1.3,2,75th percentile,rcp26,South America: Amazon, AMZ, land,BW,2065,
1014,2.2,6,Max,rcp26,South America: Amazon, AMZ, land,BW,2065,
1015,0.0,-20,Min,rcp26,South America: Amazon, AMZ, land,BW,2100,
1016,0.8,-4,25th percentile,rcp26,South America: Amazon, AMZ, land,BW,2100,
1017,1.0,-1,median,rcp26,South America: Amazon, AMZ, land,BW,2100,
1018,1.3,1,75th percentile,rcp26,South America: Amazon, AMZ, land,BW,2100,
1019,2.5,6,Max,rcp26,South America: Amazon, AMZ, land,BW,2100,
1020,0.6,-11,Min,rcp26,South America: Amazon, AMZ, land,BS,2035,
1021,0.7,-3,25th percentile,rcp26,South America: Amazon, AMZ, land,BS,2035,
1022,0.9,0,median,rcp26,South America: Amazon, AMZ, land,BS,2035,
1023,1.1,1,75th percentile,rcp26,South America: Amazon, AMZ, land,BS,2035,
1024,1.9,5,Max,rcp26,South America: Amazon, AMZ, land,BS,2035,
1025,0.8,-19,Min,rcp26,South America: Amazon, AMZ, land,BS,2065,
1026,1.0,-4,25th percentile,rcp26,South America: Amazon, AMZ, land,BS,2065,
1027,1.1,0,median,rcp26,South America: Amazon, AMZ, land,BS,2065,
1028,1.6,2,75th percentile,rcp26,South America: Amazon, AMZ, land,BS,2065,
1029,2.9,7,Max,rcp26,South America: Amazon, AMZ, land,BS,2065,
1030,0.5,-17,Min,rcp26,South America: Amazon, AMZ, land,BS,2100,
1031,0.9,-5,25th percentile,rcp26,South America: Amazon, AMZ, land,BS,2100,
1032,1.1,-2,median,rcp26,South America: Amazon, AMZ, land,BS,2100,
1033,1.5,1,75th percentile,rcp26,South America: Amazon, AMZ, land,BS,2100,
1034,2.8,10,Max,rcp26,South America: Amazon, AMZ, land,BS,2100,
1035,0.2,-2,Min,rcp26,South Asia, SAS, land,Annual,2035,
1036,0.6,0,25th percentile,rcp26,South Asia, SAS, land,Annual,2035,
1037,0.8,3,median,rcp26,South Asia, SAS, land,Annual,2035,
1038,0.9,4,75th percentile,rcp26,South Asia, SAS, land,Annual,2035,
1039,1.3,8,Max,rcp26,South Asia, SAS, land,Annual,2035,
1040,0.7,-5,Min,rcp26,South Asia, SAS, land,Annual,2065,
1041,0.9,2,25th percentile,rcp26,South Asia, SAS, land,Annual,2065,
1042,1.0,5,median,rcp26,South Asia, SAS, land,Annual,2065,
1043,1.4,7,75th percentile,rcp26,South Asia, SAS, land,Annual,2065,
1044,2.0,14,Max,rcp26,South Asia, SAS, land,Annual,2065,
1045,0.2,-5,Min,rcp26,South Asia, SAS, land,Annual,2100,
1046,0.9,1,25th percentile,rcp26,South Asia, SAS, land,Annual,2100,
1047,1.0,5,median,rcp26,South Asia, SAS, land,Annual,2100,
1048,1.4,8,75th percentile,rcp26,South Asia, SAS, land,Annual,2100,
1049,2.3,15,Max,rcp26,South Asia, SAS, land,Annual,2100,
1050,0.2,-11,Min,rcp26,South Asia, SAS, land,BW,2035,
1051,0.7,-2,25th percentile,rcp26,South Asia, SAS, land,BW,2035,
1052,0.8,0,median,rcp26,South Asia, SAS, land,BW,2035,
1053,1.1,5,75th percentile,rcp26,South Asia, SAS, land,BW,2035,
1054,1.7,10,Max,rcp26,South Asia, SAS, land,BW,2035,
1055,0.5,-13,Min,rcp26,South Asia, SAS, land,BW,2065,
1056,0.9,0,25th percentile,rcp26,South Asia, SAS, land,BW,2065,
1057,1.2,3,median,rcp26,South Asia, SAS, land,BW,2065,
1058,1.6,7,75th percentile,rcp26,South Asia, SAS, land,BW,2065,
1059,2.3,19,Max,rcp26,South Asia, SAS, land,BW,2065,
1060,0.1,-20,Min,rcp26,South Asia, SAS, land,BW,2100,
1061,0.8,2,25th percentile,rcp26,South Asia, SAS, land,BW,2100,
1062,1.1,5,median,rcp26,South Asia, SAS, land,BW,2100,
1063,1.5,9,75th percentile,rcp26,South Asia, SAS, land,BW,2100,
1064,2.4,27,Max,rcp26,South Asia, SAS, land,BW,2100,
1065,0.2,-3,Min,rcp26,South Asia, SAS, land,BS,2035,
1066,0.5,1,25th percentile,rcp26,South Asia, SAS, land,BS,2035,
1067,0.7,3,median,rcp26,South Asia, SAS, land,BS,2035,
1068,0.9,5,75th percentile,rcp26,South Asia, SAS, land,BS,2035,
1069,1.2,9,Max,rcp26,South Asia, SAS, land,BS,2035,
1070,0.5,-7,Min,rcp26,South Asia, SAS, land,BS,2065,
1071,0.8,3,25th percentile,rcp26,South Asia, SAS, land,BS,2065,
1072,0.9,5,median,rcp26,South Asia, SAS, land,BS,2065,
1073,1.3,7,75th percentile,rcp26,South Asia, SAS, land,BS,2065,
1074,1.9,15,Max,rcp26,South Asia, SAS, land,BS,2065,
1075,-0.1,-10,Min,rcp26,South Asia, SAS, land,BS,2100,
1076,0.7,1,25th percentile,rcp26,South Asia, SAS, land,BS,2100,
1077,0.9,5,median,rcp26,South Asia, SAS, land,BS,2100,
1078,1.1,7,75th percentile,rcp26,South Asia, SAS, land,BS,2100,
1079,2.2,17,Max,rcp26,South Asia, SAS, land,BS,2100,
1080,0.4,-16,Min,rcp26,South Australia/New Zealand, SAU, land,Annual,2035,
1081,0.5,-4,25th percentile,rcp26,South Australia/New Zealand, SAU, land,Annual,2035,
1082,0.7,0,median,rcp26,South Australia/New Zealand, SAU, land,Annual,2035,
1083,0.8,1,75th percentile,rcp26,South Australia/New Zealand, SAU, land,Annual,2035,
1084,0.9,4,Max,rcp26,South Australia/New Zealand, SAU, land,Annual,2035,
