n, T, pr, stat, Scenario, Region, Label, Mask, Season, Year,
80,-0.5,-2,Min,rcp26,Antarctica (land), ANT, land,BS,2065,
81,0.6,3,25th percentile,rcp26,Antarctica (land), ANT, land,BS,2065,
82,0.9,5,median,rcp26,Antarctica (land), ANT, land,BS,2065,
83,1.4,10,75th percentile,rcp26,Antarctica (land), ANT, land,BS,2065,
84,1.9,12,Max,rcp26,Antarctica (land), ANT, land,BS,2065,
85,-0.8,-4,Min,rcp26,Antarctica (land), ANT, land,BS,2100,
86,0.7,3,25th percentile,rcp26,Antarctica (land), ANT, land,BS,2100,
87,1.0,6,median,rcp26,Antarctica (land), ANT, land,BS,2100,
88,1.2,9,75th percentile,rcp26,Antarctica (land), ANT, land,BS,2100,
89,2.3,16,Max,rcp26,Antarctica (land), ANT, land,BS,2100,
90,-0.4,0,Min,rcp26,Antarctica (sea), ANT, sea,Annual,2035,
91,0.2,1,25th percentile,rcp26,Antarctica (sea), ANT, sea,Annual,2035,
92,0.3,2,median,rcp26,Antarctica (sea), ANT, sea,Annual,2035,
93,0.7,3,75th percentile,rcp26,Antarctica (sea), ANT, sea,Annual,2035,
94,1.3,5,Max,rcp26,Antarctica (sea), ANT, sea,Annual,2035,
95,-0.7,-1,Min,rcp26,Antarctica (sea), ANT, sea,Annual,2065,
96,0.3,2,25th percentile,rcp26,Antarctica (sea), ANT, sea,Annual,2065,
97,0.5,3,median,rcp26,Antarctica (sea), ANT, sea,Annual,2065,
98,1.0,4,75th percentile,rcp26,Antarctica (sea), ANT, sea,Annual,2065,
99,1.5,8,Max,rcp26,Antarctica (sea), ANT, sea,Annual,2065,
100,-0.7,-1,Min,rcp26,Antarctica (sea), ANT, sea,Annual,2100,
101,0.4,1,25th percentile,rcp26,Antarctica (sea), ANT, sea,Annual,2100,
102,0.6,3,median,rcp26,Antarctica (sea), ANT, sea,Annual,2100,
103,1.2,4,75th percentile,rcp26,Antarctica (sea), ANT, sea,Annual,2100,
104,1.8,7,Max,rcp26,Antarctica (sea), ANT, sea,Annual,2100,
105,-0.2,-1,Min,rcp26,Antarctica (sea), ANT, sea,BW,2035,
106,0.1,1,25th percentile,rcp26,Antarctica (sea), ANT, sea,BW,2035,
107,0.2,2,median,rcp26,Antarctica (sea), ANT, sea,BW,2035,
108,0.5,3,75th percentile,rcp26,Antarctica (sea), ANT, sea,BW,2035,
109,0.7,5,Max,rcp26,Antarctica (sea), ANT, sea,BW,2035,
110,-0.5,-1,Min,rcp26,Antarctica (sea), ANT, sea,BW,2065,
111,0.3,1,25th percentile,rcp26,Antarctica (sea), ANT, sea,BW,2065,
112,0.5,3,median,rcp26,Antarctica (sea), ANT, sea,BW,2065,
113,0.7,4,75th percentile,rcp26,Antarctica (sea), ANT, sea,BW,2065,
114,1.0,7,Max,rcp26,Antarctica (sea), ANT, sea,BW,2065,
115,-0.3,-2,Min,rcp26,Antarctica (sea), ANT, sea,BW,2100,
116,0.3,1,25th percentile,rcp26,Antarctica (sea), ANT, sea,BW,2100,
117,0.5,2,median,rcp26,Antarctica (sea), ANT, sea,BW,2100,
118,0.8,3,75th percentile,rcp26,Antarctica (sea), ANT, sea,BW,2100,
119,1.2,7,Max,rcp26,Antarctica (sea), ANT, sea,BW,2100,
120,-0.6,0,Min,rcp26,Antarctica (sea), ANT, sea,BS,2035,
