,,,,,,Temperature [degree C],,,,,Precipitation [%],,,,,
Scenario, Region, Region Label, Mask, Season, Year, Min, 25th percentile, median, 75th percentile, Max, Min, 25th percentile, median, 75th percentile, Max,
rcp26,Southeast Asia (sea), SEA, sea,Annual,2035,0.3,0.5,0.5,0.6,1.0,-4,0,1,2,4,
rcp26,Southeast Asia (sea), SEA, sea,Annual,2065,0.5,0.6,0.7,1.0,1.5,-2,1,2,4,6,
rcp26,Southeast Asia (sea), SEA, sea,Annual,2100,0.3,0.5,0.7,1.0,1.6,-2,1,2,4,7,
rcp26,Southeast Asia (sea), SEA, sea,BW,2035,0.3,0.5,0.5,0.6,1.1,-5,-1,0,3,6,
rcp26,Southeast Asia (sea), SEA, sea,BW,2065,0.5,0.6,0.7,1.0,1.5,-2,0,2,4,6,
rcp26,Southeast Asia (sea), SEA, sea,BW,2100,0.3,0.6,0.7,1.0,1.7,-3,0,2,4,7,
rcp26,Southeast Asia (sea), SEA, sea,BS,2035,0.2,0.5,0.5,0.6,1.0,-5,0,1,3,6,
rcp26,Southeast Asia (sea), SEA, sea,BS,2065,0.5,0.6,0.7,0.9,1.5,-3,1,2,3,7,
rcp26,Southeast Asia (sea), SEA, sea,BS,2100,0.3,0.5,0.7,1.0,1.7,-5,1,2,4,9,
rcp26,Southeastern South America, SSA, land,Annual,2035,0.3,0.5,0.6,0.7,1.3,-7,-1,0,2,10,
rcp26,Southeastern South America, SSA, land,Annual,2065,0.4,0.7,0.9,1.0,1.7,-7,-1,1,2,13,
rcp26,Southeastern South America, SSA, land,Annual,2100,0.4,0.7,0.8,1.1,1.8,-9,-1,1,3,9,
rcp26,Southeastern South America, SSA, land,BW,2035,0.2,0.5,0.7,0.8,1.4,-6,-1,0,2,8,
rcp26,Southeastern South America, SSA, land,BW,2065,0.3,0.6,0.9,1.2,1.8,-6,-1,0,3,11,
rcp26,Southeastern South America, SSA, land,BW,2100,0.3,0.7,0.8,1.2,2.0,-7,-2,1,3,9,
rcp26,Southeastern South America, SSA, land,BS,2035,0.1,0.3,0.7,0.8,1.1,-13,-3,2,4,14,
rcp26,Southeastern South America, SSA, land,BS,2065,0.2,0.5,0.7,1.1,1.6,-15,-1,1,3,14,
rcp26,Southeastern South America, SSA, land,BS,2100,0.3,0.5,0.8,1.1,1.7,-17,-4,0,7,17,
rcp26,Southern Africa, SAF, land,Annual,2035,0.5,0.7,0.8,0.9,1.4,-12,-4,-2,-1,9,
rcp26,Southern Africa, SAF, land,Annual,2065,0.7,1.0,1.1,1.3,2.0,-13,-6,-4,0,4,
rcp26,Southern Africa, SAF, land,Annual,2100,0.4,0.9,1.1,1.5,2.1,-13,-8,-4,-1,3,
rcp26,Southern Africa, SAF, land,BW,2035,0.4,0.7,0.8,1.0,1.2,-11,-4,-2,0,9,
rcp26,Southern Africa, SAF, land,BW,2065,0.6,1.0,1.1,1.4,2.0,-13,-7,-3,0,4,
rcp26,Southern Africa, SAF, land,BW,2100,0.2,0.8,1.1,1.5,2.1,-13,-7,-3,0,4,
rcp26,Southern Africa, SAF, land,BS,2035,0.5,0.7,0.8,0.9,1.3,-24,-8,-3,0,10,
rcp26,Southern Africa, SAF, land,BS,2065,0.7,0.9,1.1,1.3,1.9,-30,-9,-5,-2,8,
rcp26,Southern Africa, SAF, land,BS,2100,0.4,0.8,1.0,1.3,2.1,-32,-11,-8,-1,12,
rcp26,Southern Europe/Mediterranean, MED, land,Annual,2035,0.4,0.8,0.9,1.1,1.7,-9,-4,-2,0,7,
rcp26,Southern Europe/Mediterranean, MED, land,Annual,2065,0.2,1.0,1.3,1.5,2.6,-13,-6,-2,1,6,
rcp26,Southern Europe/Mediterranean, MED, land,Annual,2100,-0.4,0.9,1.2,1.5,2.7,-21,-5,-1,2,10,
rcp26,Southern Europe/Mediterranean, MED, land,BW,2035,0.2,0.7,0.7,1.0,1.4,-10,-5,-1,2,10,
rcp26,Southern Europe/Mediterranean, MED, land,BW,2065,-0.1,0.8,1.1,1.5,1.9,-12,-7,-1,4,12,
rcp26,Southern Europe/Mediterranean, MED, land,BW,2100,-0.9,0.8,1.1,1.3,1.8,-23,-4,0,4,9,
rcp26,Southern Europe/Mediterranean, MED, land,BS,2035,0.4,1.0,1.1,1.5,2.6,-15,-7,-2,1,9,
rcp26,Southern Europe/Mediterranean, MED, land,BS,2065,0.4,1.0,1.6,1.9,3.6,-17,-7,-2,0,12,
rcp26,Southern Europe/Mediterranean, MED, land,BS,2100,-0.2,1.0,1.4,1.8,3.9,-18,-4,-2,0,18,
rcp26,Southern Pacific, STP, all,Annual,2035,0.3,0.4,0.5,0.6,0.9,-12,0,1,1,4,
rcp26,Southern Pacific, STP, all,Annual,2065,0.4,0.5,0.6,0.8,1.2,-18,-1,1,3,7,
rcp26,Southern Pacific, STP, all,Annual,2100,0.3,0.5,0.6,0.9,1.4,-19,0,1,2,6,
rcp26,Southern Pacific, STP, all,BW,2035,0.3,0.4,0.5,0.6,0.9,-10,0,1,2,4,
rcp26,Southern Pacific, STP, all,BW,2065,0.4,0.5,0.7,0.9,1.1,-20,-1,2,3,5,
rcp26,Southern Pacific, STP, all,BW,2100,0.3,0.5,0.6,0.9,1.3,-19,-1,2,3,6,
rcp26,Southern Pacific, STP, all,BS,2035,0.1,0.4,0.4,0.6,0.9,-11,-1,0,3,6,
rcp26,Southern Pacific, STP, all,BS,2065,0.3,0.5,0.6,0.8,1.2,-15,-1,1,3,8,
rcp26,Southern Pacific, STP, all,BS,2100,0.3,0.5,0.6,0.8,1.4,-19,-1,1,2,6,
rcp26,Northern Tropical Pacific, NTP, all,Annual,2035,0.3,0.5,0.6,0.6,1.1,-3,-1,1,2,6,
rcp26,Northern Tropical Pacific, NTP, all,Annual,2065,0.5,0.6,0.8,1.0,1.5,-5,-1,1,3,10,
rcp26,Northern Tropical Pacific, NTP, all,Annual,2100,0.3,0.6,0.7,1.1,1.6,-4,-1,2,3,7,
rcp26,Northern Tropical Pacific, NTP, all,BW,2035,0.3,0.5,0.6,0.6,1.0,-5,0,2,3,7,
rcp26,Northern Tropical Pacific, NTP, all,BW,2065,0.4,0.6,0.8,1.0,1.4,-5,0,3,4,13,
rcp26,Northern Tropical Pacific, NTP, all,BW,2100,0.3,0.6,0.8,1.1,1.5,-6,-1,2,4,14,
rcp26,Northern Tropical Pacific, NTP, all,BS,2035,0.3,0.4,0.5,0.7,1.1,-7,-1,1,2,8,
rcp26,Northern Tropical Pacific, NTP, all,BS,2065,0.4,0.6,0.7,1.0,1.5,-5,-2,0,3,8,
rcp26,Northern Tropical Pacific, NTP, all,BS,2100,0.2,0.6,0.7,1.1,1.7,-5,-1,1,3,6,
rcp26,Tibetan Plateau, TIB, land,Annual,2035,0.4,0.8,1.1,1.4,2.0,-2,2,4,5,16,
rcp26,Tibetan Plateau, TIB, land,Annual,2065,0.2,1.1,1.5,1.9,3.3,-2,3,5,9,20,
rcp26,Tibetan Plateau, TIB, land,Annual,2100,-0.6,0.9,1.4,1.9,3.2,-4,4,6,9,22,
rcp26,Tibetan Plateau, TIB, land,BW,2035,0.3,0.8,1.0,1.5,2.1,-2,2,4,6,12,
rcp26,Tibetan Plateau, TIB, land,BW,2065,0.1,1.2,1.6,2.1,3.6,-3,4,6,10,17,
rcp26,Tibetan Plateau, TIB, land,BW,2100,-0.9,0.9,1.5,2.0,3.4,-4,4,7,10,22,
rcp26,Tibetan Plateau, TIB, land,BS,2035,0.2,0.8,1.1,1.3,2.4,-3,1,4,6,19,
rcp26,Tibetan Plateau, TIB, land,BS,2065,0.3,1.1,1.4,1.8,3.8,-3,3,5,8,24,
rcp26,Tibetan Plateau, TIB, land,BS,2100,-0.4,0.9,1.3,1.8,3.9,-4,4,6,9,24,
rcp26,West Africa, WAF, land,Annual,2035,0.4,0.6,0.7,0.9,1.3,-4,-1,1,2,5,
rcp26,West Africa, WAF, land,Annual,2065,0.6,0.9,1.0,1.3,1.9,-6,-1,1,2,4,
rcp26,West Africa, WAF, land,Annual,2100,0.2,0.8,1.0,1.2,2.2,-7,-1,0,2,4,
rcp26,West Africa, WAF, land,BW,2035,0.4,0.6,0.7,0.9,1.4,-5,-1,1,2,6,
rcp26,West Africa, WAF, land,BW,2065,0.6,0.9,1.1,1.3,2.0,-4,-1,1,5,8,
rcp26,West Africa, WAF, land,BW,2100,0.4,0.9,1.0,1.3,2.2,-7,0,1,3,7,
rcp26,West Africa, WAF, land,BS,2035,0.4,0.6,0.7,0.9,1.4,-4,-1,0,2,6,
rcp26,West Africa, WAF, land,BS,2065,0.5,0.9,1.0,1.3,2.0,-7,-1,0,1,4,
rcp26,West Africa, WAF, land,BS,2100,0.2,0.8,1.0,1.2,2.3,-8,-2,0,1,4,
rcp26,West Coast South America, WSA, land,Annual,2035,0.4,0.6,0.7,0.8,1.2,-7,-1,1,2,5,
rcp26,West Coast South America, WSA, land,Annual,2065,0.6,0.8,1.0,1.2,1.7,-8,0,1,2,5,
rcp26,West Coast South America, WSA, land,Annual,2100,0.3,0.8,0.9,1.2,2.0,-8,0,2,3,6,
rcp26,West Coast South America, WSA, land,BW,2035,0.4,0.6,0.7,0.9,1.1,-6,-1,1,2,5,
rcp26,West Coast South America, WSA, land,BW,2065,0.5,0.8,1.0,1.2,1.6,-8,-1,1,3,5,
rcp26,West Coast South America, WSA, land,BW,2100,0.3,0.7,0.9,1.2,1.9,-7,0,2,5,7,
rcp26,West Coast South America, WSA, land,BS,2035,0.3,0.6,0.8,0.8,1.4,-10,-2,0,2,7,
rcp26,West Coast South America, WSA, land,BS,2065,0.6,0.9,1.0,1.3,1.8,-8,-1,1,2,8,
rcp26,West Coast South America, WSA, land,BS,2100,0.4,0.8,0.9,1.3,2.1,-11,-1,1,4,7,
rcp26,West Indian Ocean, WIO, sea,Annual,2035,0.3,0.5,0.5,0.7,1.0,-4,0,2,2,9,
rcp26,West Indian Ocean, WIO, sea,Annual,2065,0.5,0.6,0.7,1.0,1.3,-2,1,2,3,12,
rcp26,West Indian Ocean, WIO, sea,Annual,2100,0.2,0.6,0.7,1.0,1.6,-1,2,3,6,11,
rcp26,West Indian Ocean, WIO, sea,BW,2035,0.3,0.5,0.5,0.7,1.0,-4,0,1,3,10,
rcp26,West Indian Ocean, WIO, sea,BW,2065,0.5,0.6,0.7,1.0,1.4,-6,1,2,4,12,
rcp26,West Indian Ocean, WIO, sea,BW,2100,0.2,0.6,0.7,1.0,1.6,-2,1,3,6,14,
rcp26,West Indian Ocean, WIO, sea,BS,2035,0.3,0.5,0.5,0.7,1.0,-6,0,1,4,9,
rcp26,West Indian Ocean, WIO, sea,BS,2065,0.4,0.6,0.7,1.0,1.4,-3,0,2,6,12,
rcp26,West Indian Ocean, WIO, sea,BS,2100,0.1,0.6,0.7,1.0,1.6,-3,1,4,7,11,
rcp26,West North America, WNA, land,Annual,2035,0.5,0.8,1.0,1.3,2.0,-3,-1,2,3,8,
rcp26,West North America, WNA, land,Annual,2065,0.6,1.1,1.5,1.7,3.0,-1,1,3,5,13,
rcp26,West North America, WNA, land,Annual,2100,-0.3,1.0,1.4,1.9,3.2,0,2,3,7,12,
rcp26,West North America, WNA, land,BW,2035,-0.2,0.6,1.0,1.4,2.6,-3,-1,2,5,9,
rcp26,West North America, WNA, land,BW,2065,0.3,1.0,1.6,2.1,4.0,-3,1,4,6,11,
rcp26,West North America, WNA, land,BW,2100,0.3,1.1,1.7,2.1,4.2,-1,3,4,6,12,
rcp26,West North America, WNA, land,BS,2035,0.4,0.8,1.1,1.3,2.0,-6,-2,1,5,11,
rcp26,West North America, WNA, land,BS,2065,0.2,1.0,1.4,1.8,3.0,-4,0,2,4,13,
rcp26,West North America, WNA, land,BS,2100,-0.4,0.8,1.3,1.9,3.1,-3,1,4,7,13,
rcp60,Africa: Sahara, SAH, land,Annual,2035,0.6,0.7,0.9,1.1,1.5,-13,-5,0,9,24,
rcp60,Africa: Sahara, SAH, land,Annual,2065,1.3,1.5,1.7,2.0,2.5,-20,-7,0,12,54,
rcp60,Africa: Sahara, SAH, land,Annual,2100,1.8,2.6,3.0,3.5,4.4,-19,-9,-2,17,86,
rcp60,Africa: Sahara, SAH, land,BW,2035,0.2,0.6,0.8,1.0,1.6,-36,-6,0,18,38,
rcp60,Africa: Sahara, SAH, land,BW,2065,1.0,1.3,1.6,1.9,2.3,-39,-11,0,12,26,
rcp60,Africa: Sahara, SAH, land,BW,2100,1.4,2.3,2.9,3.2,3.7,-22,-11,1,15,45,
rcp60,Africa: Sahara, SAH, land,BS,2035,0.3,0.9,1.0,1.1,1.9,-13,-8,2,11,31,
rcp60,Africa: Sahara, SAH, land,BS,2065,1.3,1.7,1.9,2.0,3.1,-15,-9,1,14,64,
rcp60,Africa: Sahara, SAH, land,BS,2100,2.1,2.8,3.1,3.7,5.1,-23,-11,-2,16,101,
rcp60,Antarctica (land), ANT, land,Annual,2035,-0.3,0.4,0.5,0.8,1.2,-3,1,3,5,9,
rcp60,Antarctica (land), ANT, land,Annual,2065,0.0,1.1,1.2,1.6,2.2,-3,3,7,9,14,
rcp60,Antarctica (land), ANT, land,Annual,2100,0.5,1.7,2.0,2.9,3.8,-2,7,10,17,25,
rcp60,Antarctica (land), ANT, land,BW,2035,-0.1,0.3,0.5,0.7,1.2,-6,1,2,4,7,
rcp60,Antarctica (land), ANT, land,BW,2065,0.1,1.0,1.3,1.5,2.1,-6,2,5,7,13,
rcp60,Antarctica (land), ANT, land,BW,2100,0.7,1.7,2.2,2.8,3.7,-6,5,6,13,22,
rcp60,Antarctica (land), ANT, land,BS,2035,-0.4,0.2,0.6,0.8,1.7,-2,1,3,5,10,
rcp60,Antarctica (land), ANT, land,BS,2065,-0.1,1.1,1.4,1.7,2.2,0,5,8,11,15,
rcp60,Antarctica (land), ANT, land,BS,2100,0.0,1.9,2.1,3.0,3.9,2,10,12,20,29,
rcp60,Antarctica (sea), ANT, sea,Annual,2035,-0.7,0.1,0.4,0.6,1.2,0,1,2,3,5,
rcp60,Antarctica (sea), ANT, sea,Annual,2065,-0.6,0.5,0.7,1.2,1.8,1,2,4,6,8,
rcp60,Antarctica (sea), ANT, sea,Annual,2100,-0.3,1.0,1.3,2.1,3.0,4,5,7,11,13,
rcp60,Antarctica (sea), ANT, sea,BW,2035,-0.5,0.1,0.3,0.4,0.8,0,1,3,3,4,
rcp60,Antarctica (sea), ANT, sea,BW,2065,-0.4,0.4,0.6,0.8,1.2,-1,2,4,5,7,
rcp60,Antarctica (sea), ANT, sea,BW,2100,-0.3,0.7,1.0,1.4,2.2,2,4,7,10,12,
rcp60,Antarctica (sea), ANT, sea,BS,2035,-1.0,0.2,0.5,0.8,1.8,0,2,2,4,6,
rcp60,Antarctica (sea), ANT, sea,BS,2065,-0.8,0.5,1.0,1.6,2.2,1,3,5,7,9,
rcp60,Antarctica (sea), ANT, sea,BS,2100,-0.4,1.1,1.6,2.8,3.8,4,6,7,12,16,
rcp60,Arctic (land), ARC, land,Annual,2035,0.1,1.2,1.3,1.6,3.6,0,4,6,7,21,
rcp60,Arctic (land), ARC, land,Annual,2065,0.8,1.9,2.6,3.1,5.5,2,9,11,14,30,
rcp60,Arctic (land), ARC, land,Annual,2100,1.0,3.7,4.5,5.4,9.1,5,16,20,23,50,
rcp60,Arctic (land), ARC, land,BW,2035,0.1,1.3,1.5,1.9,4.0,-4,6,8,11,21,
rcp60,Arctic (land), ARC, land,BW,2065,1.0,2.5,3.0,4.0,6.4,3,12,16,19,30,
rcp60,Arctic (land), ARC, land,BW,2100,1.1,5.0,5.8,6.8,12.3,8,24,29,35,62,
rcp60,Arctic (land), ARC, land,BS,2035,0.2,0.7,0.8,1.3,2.8,2,3,5,6,20,
rcp60,Arctic (land), ARC, land,BS,2065,0.8,1.3,1.7,2.3,4.1,-1,6,9,11,29,
rcp60,Arctic (land), ARC, land,BS,2100,1.1,2.1,2.8,4.0,6.8,4,11,14,19,42,
rcp60,Arctic (sea), ARC, sea,Annual,2035,-0.1,1.3,1.7,2.2,4.1,-3,6,7,10,17,
rcp60,Arctic (sea), ARC, sea,Annual,2065,0.5,2.3,3.1,4.1,6.3,-1,10,13,19,24,
rcp60,Arctic (sea), ARC, sea,Annual,2100,0.5,4.5,5.5,7.0,10.6,-1,20,24,27,43,
rcp60,Arctic (sea), ARC, sea,BW,2035,0.0,1.9,2.4,2.9,5.9,-8,6,10,14,22,
rcp60,Arctic (sea), ARC, sea,BW,2065,0.5,3.2,4.3,6.2,9.5,0,11,18,26,37,
rcp60,Arctic (sea), ARC, sea,BW,2100,0.3,7.1,8.0,10.2,17.1,-2,26,32,41,54,
rcp60,Arctic (sea), ARC, sea,BS,2035,-0.1,0.4,0.5,0.7,1.6,1,4,6,7,13,
rcp60,Arctic (sea), ARC, sea,BS,2065,0.3,0.7,1.0,1.4,2.4,-2,8,10,12,19,
rcp60,Arctic (sea), ARC, sea,BS,2100,0.0,1.4,1.9,2.3,4.8,1,14,17,21,32,
rcp60,West Asia, WAS, land,Annual,2035,0.7,0.7,0.9,1.2,1.6,-7,-2,2,5,12,
rcp60,West Asia, WAS, land,Annual,2065,1.1,1.5,1.8,2.1,2.7,-10,-2,3,7,9,
rcp60,West Asia, WAS, land,Annual,2100,1.5,2.5,3.0,3.7,4.7,-18,-5,4,6,15,
rcp60,West Asia, WAS, land,BW,2035,0.5,0.7,1.0,1.2,1.6,-7,-2,3,6,13,
rcp60,West Asia, WAS, land,BW,2065,0.9,1.4,1.7,2.0,2.9,-9,-1,4,7,10,
rcp60,West Asia, WAS, land,BW,2100,1.2,2.5,2.9,3.4,4.9,-17,-3,4,9,19,
rcp60,West Asia, WAS, land,BS,2035,0.6,0.8,1.0,1.2,2.2,-16,-4,2,5,22,
rcp60,West Asia, WAS, land,BS,2065,1.3,1.5,2.0,2.2,3.4,-16,-4,2,9,11,
rcp60,West Asia, WAS, land,BS,2100,2.1,2.6,3.2,3.9,5.6,-22,-11,0,10,22,
rcp60,Australia/North Australia, NAU, land,Annual,2035,0.4,0.6,0.8,1.0,1.4,-14,-8,-3,1,9,
rcp60,Australia/North Australia, NAU, land,Annual,2065,1.0,1.3,1.6,1.8,2.2,-18,-5,-1,3,9,
rcp60,Australia/North Australia, NAU, land,Annual,2100,1.5,2.3,2.7,3.1,3.6,-29,-9,0,3,15,
rcp60,Australia/North Australia, NAU, land,BW,2035,0.3,0.6,0.7,1.0,1.9,-17,-5,-3,1,9,
rcp60,Australia/North Australia, NAU, land,BW,2065,0.9,1.4,1.5,1.9,2.7,-16,-4,-1,3,10,
rcp60,Australia/North Australia, NAU, land,BW,2100,1.3,2.2,2.6,3.0,4.0,-30,-8,-1,6,18,
rcp60,Australia/North Australia, NAU, land,BS,2035,0.1,0.6,0.8,1.1,1.3,-36,-12,-5,2,17,
rcp60,Australia/North Australia, NAU, land,BS,2065,0.9,1.4,1.5,1.9,2.1,-46,-12,-3,2,14,
rcp60,Australia/North Australia, NAU, land,BS,2100,1.8,2.1,2.8,3.1,3.5,-57,-18,-4,5,15,
rcp60,Caribbean (land and sea), CAR, all,Annual,2035,0.3,0.5,0.5,0.7,1.0,-11,-5,-2,1,7,
rcp60,Caribbean (land and sea), CAR, all,Annual,2065,0.8,0.9,1.0,1.2,1.7,-15,-7,-2,-1,10,
rcp60,Caribbean (land and sea), CAR, all,Annual,2100,1.0,1.5,1.7,2.2,2.9,-33,-13,-7,-2,8,
rcp60,Caribbean (land and sea), CAR, all,BW,2035,0.3,0.5,0.5,0.7,1.0,-7,-4,-1,3,6,
rcp60,Caribbean (land and sea), CAR, all,BW,2065,0.8,0.9,1.0,1.2,1.7,-9,-5,-3,3,11,
rcp60,Caribbean (land and sea), CAR, all,BW,2100,1.0,1.5,1.6,2.2,2.7,-23,-8,-1,5,10,
rcp60,Caribbean (land and sea), CAR, all,BS,2035,0.3,0.4,0.5,0.7,1.0,-14,-7,-4,1,9,
rcp60,Caribbean (land and sea), CAR, all,BS,2065,0.7,0.9,0.9,1.2,1.8,-19,-9,-6,-3,6,
rcp60,Caribbean (land and sea), CAR, all,BS,2100,1.0,1.4,1.7,2.1,2.9,-43,-21,-9,-5,10,
rcp60,Central America, CAM, land,Annual,2035,0.4,0.6,0.7,0.8,1.2,-4,-2,0,2,7,
rcp60,Central America, CAM, land,Annual,2065,1.1,1.2,1.4,1.7,2.1,-15,-3,-1,2,5,
rcp60,Central America, CAM, land,Annual,2100,1.8,2.1,2.3,2.9,3.5,-17,-5,-3,1,5,
rcp60,Central America, CAM, land,BW,2035,0.4,0.5,0.6,0.8,1.1,-8,-2,-1,4,9,
rcp60,Central America, CAM, land,BW,2065,0.9,1.2,1.3,1.6,2.1,-17,-3,-1,4,11,
rcp60,Central America, CAM, land,BW,2100,1.5,2.0,2.2,2.8,3.4,-21,-6,-3,3,11,
rcp60,Central America, CAM, land,BS,2035,0.4,0.6,0.7,0.8,1.3,-5,-2,0,3,6,
rcp60,Central America, CAM, land,BS,2065,1.1,1.2,1.4,1.7,2.2,-12,-5,-2,2,7,
rcp60,Central America, CAM, land,BS,2100,1.9,2.2,2.3,3.1,3.8,-14,-6,-3,3,5,
rcp60,Central Asia, CAS, land,Annual,2035,0.6,0.9,1.0,1.2,1.9,-7,0,5,7,13,
rcp60,Central Asia, CAS, land,Annual,2065,0.9,1.6,1.9,2.2,3.0,-10,1,5,8,18,
rcp60,Central Asia, CAS, land,Annual,2100,1.2,2.7,3.3,3.9,5.3,-19,-2,3,8,22,
rcp60,Central Asia, CAS, land,BW,2035,0.3,0.9,1.1,1.5,2.1,-9,2,4,11,14,
rcp60,Central Asia, CAS, land,BW,2065,0.9,1.6,2.0,2.5,4.0,-14,0,4,9,18,
rcp60,Central Asia, CAS, land,BW,2100,1.1,2.8,3.3,4.0,5.8,-15,-5,6,12,24,
rcp60,Central Asia, CAS, land,BS,2035,0.3,0.7,1.0,1.2,2.2,-12,-2,3,7,14,
rcp60,Central Asia, CAS, land,BS,2065,0.8,1.4,1.8,2.3,3.7,-16,0,4,9,18,
rcp60,Central Asia, CAS, land,BS,2100,1.6,2.5,3.3,4.2,6.1,-29,-2,2,11,16,
rcp60,Central Europe, CEU, land,Annual,2035,0.3,0.7,1.0,1.2,2.0,-4,-1,1,3,9,
rcp60,Central Europe, CEU, land,Annual,2065,0.8,1.4,1.9,2.2,3.1,-4,0,1,5,10,
rcp60,Central Europe, CEU, land,Annual,2100,0.8,2.4,3.1,3.6,4.7,-5,-1,2,6,11,
rcp60,Central Europe, CEU, land,BW,2035,-0.4,0.6,0.8,1.3,3.2,-2,1,2,3,10,
rcp60,Central Europe, CEU, land,BW,2065,0.7,1.5,1.7,2.6,3.7,-1,2,5,7,14,
rcp60,Central Europe, CEU, land,BW,2100,0.6,2.5,3.1,3.8,5.1,0,5,7,11,18,
rcp60,Central Europe, CEU, land,BS,2035,0.3,0.7,0.9,1.2,2.0,-9,-3,0,5,10,
rcp60,Central Europe, CEU, land,BS,2065,0.6,1.5,1.9,2.6,3.4,-11,-3,0,5,9,
rcp60,Central Europe, CEU, land,BS,2100,1.3,2.4,3.2,4.2,5.6,-20,-7,-1,3,10,
rcp60,Central North America, CNA, land,Annual,2035,0.4,0.6,0.9,1.2,1.6,-5,1,1,3,9,
rcp60,Central North America, CNA, land,Annual,2065,1.0,1.4,1.7,2.1,3.0,-10,-2,2,6,11,
rcp60,Central North America, CNA, land,Annual,2100,1.8,2.5,3.0,3.7,5.0,-6,-1,3,9,15,
rcp60,Central North America, CNA, land,BW,2035,-0.4,0.6,0.9,1.1,2.1,-4,-1,2,5,11,
rcp60,Central North America, CNA, land,BW,2065,0.2,1.3,1.8,2.2,3.4,-13,-3,4,7,13,
rcp60,Central North America, CNA, land,BW,2100,1.3,2.3,3.0,4.4,5.7,-9,-1,5,12,19,
rcp60,Central North America, CNA, land,BS,2035,0.4,0.6,0.9,1.2,1.8,-6,0,2,3,9,
rcp60,Central North America, CNA, land,BS,2065,1.0,1.4,1.9,2.2,2.9,-7,-2,0,5,10,
rcp60,Central North America, CNA, land,BS,2100,1.7,2.5,3.1,4.1,5.1,-13,-2,3,7,17,
rcp60,East Africa, EAF, land,Annual,2035,0.5,0.6,0.8,0.9,1.1,-4,-1,0,3,8,
rcp60,East Africa, EAF, land,Annual,2065,1.0,1.2,1.5,1.8,2.3,-5,-2,1,4,13,
rcp60,East Africa, EAF, land,Annual,2100,1.7,2.1,2.4,2.9,3.9,-6,-1,4,10,21,
rcp60,East Africa, EAF, land,BW,2035,0.4,0.6,0.7,0.8,1.2,-3,0,2,5,10,
rcp60,East Africa, EAF, land,BW,2065,0.9,1.2,1.4,1.7,2.2,-4,0,3,7,12,
rcp60,East Africa, EAF, land,BW,2100,1.6,2.0,2.3,2.8,3.9,-5,2,9,14,23,
rcp60,East Africa, EAF, land,BS,2035,0.5,0.7,0.8,0.9,1.1,-8,-3,0,2,5,
rcp60,East Africa, EAF, land,BS,2065,1.0,1.3,1.5,1.8,2.4,-8,-5,-2,3,14,
rcp60,East Africa, EAF, land,BS,2100,1.8,2.2,2.6,2.9,3.8,-9,-6,-1,7,24,
rcp60,Eastern Asia, EAS, land,Annual,2035,0.4,0.7,0.9,1.1,1.4,-2,1,2,3,6,
rcp60,Eastern Asia, EAS, land,Annual,2065,0.9,1.5,1.6,1.9,2.7,-3,1,3,4,6,
rcp60,Eastern Asia, EAS, land,Annual,2100,1.2,2.3,2.9,3.5,4.5,0,5,8,10,18,
rcp60,Eastern Asia, EAS, land,BW,2035,0.0,0.8,1.0,1.3,2.0,-4,0,2,4,11,
rcp60,Eastern Asia, EAS, land,BW,2065,0.5,1.5,1.9,2.3,3.1,-12,-1,3,5,13,
rcp60,Eastern Asia, EAS, land,BW,2100,1.2,2.7,3.1,3.8,5.0,-7,4,8,12,19,
rcp60,Eastern Asia, EAS, land,BS,2035,0.4,0.6,0.7,0.9,1.5,-3,1,2,4,6,
rcp60,Eastern Asia, EAS, land,BS,2065,0.9,1.3,1.6,1.8,2.7,-3,1,2,5,7,
rcp60,Eastern Asia, EAS, land,BS,2100,1.4,2.2,2.8,3.6,4.5,2,5,7,10,21,
rcp60,Eastern North America, ENA, land,Annual,2035,0.3,0.6,0.9,1.1,2.0,-4,1,3,5,7,
rcp60,Eastern North America, ENA, land,Annual,2065,1.0,1.5,1.7,1.9,3.2,-1,2,5,8,11,
rcp60,Eastern North America, ENA, land,Annual,2100,1.8,2.5,3.2,3.8,5.2,-1,5,8,10,13,
rcp60,Eastern North America, ENA, land,BW,2035,-0.3,0.8,1.0,1.2,2.1,-2,0,3,6,13,
rcp60,Eastern North America, ENA, land,BW,2065,0.7,1.4,1.9,2.3,3.8,0,4,7,11,15,
rcp60,Eastern North America, ENA, land,BW,2100,1.5,2.5,3.2,4.4,6.1,0,7,12,14,20,
rcp60,Eastern North America, ENA, land,BS,2035,0.6,0.7,0.9,1.0,1.9,-7,0,3,4,9,
rcp60,Eastern North America, ENA, land,BS,2065,1.1,1.4,1.7,2.1,3.3,-4,1,4,6,10,
rcp60,Eastern North America, ENA, land,BS,2100,1.8,2.4,3.1,3.8,5.7,-4,2,4,7,15,
rcp60,Equatorial Pacific, ETP, all,Annual,2035,0.4,0.5,0.6,0.7,0.9,-1,5,7,12,33,
rcp60,Equatorial Pacific, ETP, all,Annual,2065,0.6,1.0,1.1,1.3,1.9,-1,9,14,21,113,
rcp60,Equatorial Pacific, ETP, all,Annual,2100,1.2,1.6,1.8,2.3,3.1,-5,16,22,31,215,
rcp60,Equatorial Pacific, ETP, all,BW,2035,0.4,0.5,0.6,0.8,1.0,-2,1,6,14,41,
rcp60,Equatorial Pacific, ETP, all,BW,2065,0.5,1.0,1.1,1.4,1.9,-6,9,14,20,133,
