,,,,,,Temperature [degree C],,,,,Precipitation [%],,,,,
Scenario, Region, Region Label, Mask, Season, Year, Min, 25th percentile, median, 75th percentile, Max, Min, 25th percentile, median, 75th percentile, Max,
rcp26,West Asia, WAS, land,BS,2100,0.0,0.9,1.3,1.9,3.4,-31,-1,3,11,67,
rcp26,Australia/North Australia, NAU, land,Annual,2035,0.5,0.7,0.8,1.0,1.3,-17,-6,0,2,8,
rcp26,Australia/North Australia, NAU, land,Annual,2065,0.5,0.9,1.1,1.4,1.8,-21,-10,-4,0,10,
rcp26,Australia/North Australia, NAU, land,Annual,2100,0.4,0.8,1.1,1.4,2.4,-24,-11,-6,0,4,
rcp26,Australia/North Australia, NAU, land,BW,2035,0.5,0.6,0.8,1.0,1.7,-17,-6,0,3,8,
rcp26,Australia/North Australia, NAU, land,BW,2065,0.6,0.9,1.1,1.5,2.4,-23,-9,-2,0,13,
rcp26,Australia/North Australia, NAU, land,BW,2100,0.4,0.9,1.1,1.5,3.2,-26,-12,-7,0,3,
rcp26,Australia/North Australia, NAU, land,BS,2035,0.5,0.6,0.7,1.1,1.6,-41,-11,-7,1,4,
rcp26,Australia/North Australia, NAU, land,BS,2065,0.6,0.9,1.1,1.3,1.8,-47,-15,-6,1,15,
rcp26,Australia/North Australia, NAU, land,BS,2100,0.5,0.8,1.0,1.2,1.8,-38,-14,-6,1,8,
rcp26,Caribbean (land and sea), CAR, all,Annual,2035,0.4,0.5,0.6,0.7,1.1,-11,-3,-1,2,8,
rcp26,Caribbean (land and sea), CAR, all,Annual,2065,0.4,0.7,0.8,1.0,1.6,-9,-5,0,2,15,
rcp26,Caribbean (land and sea), CAR, all,Annual,2100,-0.1,0.6,0.8,1.1,1.7,-25,-4,1,3,8,
rcp26,Caribbean (land and sea), CAR, all,BW,2035,0.3,0.5,0.6,0.7,1.0,-12,-3,3,5,10,
rcp26,Caribbean (land and sea), CAR, all,BW,2065,0.4,0.7,0.8,1.1,1.6,-6,-1,2,7,13,
rcp26,Caribbean (land and sea), CAR, all,BW,2100,0.0,0.6,0.8,1.1,1.6,-16,-3,1,6,15,
rcp26,Caribbean (land and sea), CAR, all,BS,2035,0.3,0.5,0.5,0.7,1.2,-12,-7,-4,0,11,
rcp26,Caribbean (land and sea), CAR, all,BS,2065,0.4,0.7,0.8,1.0,1.6,-15,-6,-3,2,19,
rcp26,Caribbean (land and sea), CAR, all,BS,2100,-0.1,0.6,0.8,1.1,1.7,-34,-6,0,3,9,
rcp26,Central America, CAM, land,Annual,2035,0.5,0.7,0.7,0.8,1.3,-6,-2,0,2,6,
rcp26,Central America, CAM, land,Annual,2065,0.6,0.9,1.0,1.3,1.9,-9,-3,0,3,6,
rcp26,Central America, CAM, land,Annual,2100,0.4,0.7,1.0,1.3,2.1,-15,-1,0,2,9,
rcp26,Central America, CAM, land,BW,2035,0.3,0.6,0.7,0.9,1.2,-6,-2,0,3,8,
rcp26,Central America, CAM, land,BW,2065,0.5,0.8,1.0,1.2,1.7,-8,-2,1,5,12,
rcp26,Central America, CAM, land,BW,2100,0.4,0.7,0.9,1.3,2.0,-21,-2,1,5,14,
rcp26,Central America, CAM, land,BS,2035,0.5,0.7,0.8,0.9,1.4,-6,-2,-1,2,7,
rcp26,Central America, CAM, land,BS,2065,0.7,0.9,1.0,1.4,2.0,-10,-4,0,2,7,
rcp26,Central America, CAM, land,BS,2100,0.3,0.7,1.0,1.4,2.2,-11,-2,-1,2,10,
rcp26,Central Asia, CAS, land,Annual,2035,0.4,0.9,1.1,1.3,1.8,-9,0,3,6,14,
rcp26,Central Asia, CAS, land,Annual,2065,0.0,1.1,1.4,1.9,3.2,-9,1,4,8,18,
rcp26,Central Asia, CAS, land,Annual,2100,-0.8,1.0,1.4,1.8,3.1,-16,0,5,7,17,
rcp26,Central Asia, CAS, land,BW,2035,0.4,0.8,1.0,1.5,2.2,-9,0,4,7,14,
rcp26,Central Asia, CAS, land,BW,2065,-0.2,1.0,1.5,2.1,3.6,-10,0,4,12,19,
rcp26,Central Asia, CAS, land,BW,2100,-1.3,0.7,1.6,2.2,3.3,-13,0,5,10,18,
rcp26,Central Asia, CAS, land,BS,2035,0.3,0.8,1.1,1.4,2.0,-14,-1,3,7,16,
rcp26,Central Asia, CAS, land,BS,2065,0.1,0.9,1.4,2.0,3.5,-9,0,3,8,21,
rcp26,Central Asia, CAS, land,BS,2100,-0.5,0.6,1.2,1.7,3.8,-19,1,5,10,17,
rcp26,Central Europe, CEU, land,Annual,2035,0.1,0.7,1.0,1.3,1.9,-2,0,1,4,9,
rcp26,Central Europe, CEU, land,Annual,2065,-0.5,1.0,1.3,1.8,2.9,-4,0,3,5,9,
rcp26,Central Europe, CEU, land,Annual,2100,-1.4,0.9,1.3,1.9,2.8,-5,2,3,7,12,
rcp26,Central Europe, CEU, land,BW,2035,-0.2,0.6,1.0,1.5,2.3,-4,-1,2,5,11,
rcp26,Central Europe, CEU, land,BW,2065,-0.9,0.6,1.3,1.9,3.4,-4,1,3,7,11,
rcp26,Central Europe, CEU, land,BW,2100,-1.9,1.0,1.3,2.4,2.9,-1,2,4,6,16,
rcp26,Central Europe, CEU, land,BS,2035,0.4,0.7,1.1,1.4,2.5,-6,-1,2,3,6,
rcp26,Central Europe, CEU, land,BS,2065,-0.4,0.9,1.4,2.0,3.3,-9,0,2,6,8,
rcp26,Central Europe, CEU, land,BS,2100,-0.7,0.8,1.3,2.0,3.4,-12,1,4,8,14,
rcp26,Central North America, CNA, land,Annual,2035,0.4,0.8,1.0,1.2,2.0,-5,-1,2,3,7,
rcp26,Central North America, CNA, land,Annual,2065,0.4,0.9,1.4,1.9,2.6,-6,0,2,5,11,
rcp26,Central North America, CNA, land,Annual,2100,-0.1,0.8,1.4,1.8,2.8,-6,1,2,5,10,
rcp26,Central North America, CNA, land,BW,2035,-0.2,0.6,1.1,1.4,2.5,-7,-2,2,4,10,
rcp26,Central North America, CNA, land,BW,2065,0.2,0.9,1.5,1.9,3.3,-4,-1,2,6,18,
rcp26,Central North America, CNA, land,BW,2100,-0.2,0.8,1.5,2.1,3.4,-10,0,2,6,15,
rcp26,Central North America, CNA, land,BS,2035,0.4,0.7,1.2,1.4,2.2,-8,-1,1,4,8,
rcp26,Central North America, CNA, land,BS,2065,0.5,1.0,1.4,2.0,2.9,-8,0,2,4,9,
rcp26,Central North America, CNA, land,BS,2100,-0.1,0.8,1.2,1.7,3.4,-6,0,2,6,12,
rcp26,East Africa, EAF, land,Annual,2035,0.4,0.6,0.7,0.9,1.3,-5,-1,1,3,9,
rcp26,East Africa, EAF, land,Annual,2065,0.6,0.8,1.0,1.2,1.8,-8,-2,0,4,13,
rcp26,East Africa, EAF, land,Annual,2100,0.2,0.7,0.9,1.3,2.0,-7,-2,0,2,14,
rcp26,East Africa, EAF, land,BW,2035,0.4,0.6,0.7,0.8,1.4,-4,-1,2,5,8,
rcp26,East Africa, EAF, land,BW,2065,0.6,0.9,1.0,1.3,1.9,-6,-1,1,6,13,
rcp26,East Africa, EAF, land,BW,2100,0.3,0.7,0.9,1.3,2.0,-4,-2,2,5,16,
rcp26,East Africa, EAF, land,BS,2035,0.3,0.6,0.8,0.9,1.3,-7,-3,0,2,10,
rcp26,East Africa, EAF, land,BS,2065,0.5,0.9,1.0,1.3,1.8,-11,-5,-2,2,14,
rcp26,East Africa, EAF, land,BS,2100,0.0,0.8,1.0,1.2,2.1,-10,-4,-1,2,15,
rcp26,Eastern Asia, EAS, land,Annual,2035,0.4,0.8,1.0,1.1,1.7,-2,0,2,3,7,
rcp26,Eastern Asia, EAS, land,Annual,2065,0.2,1.0,1.4,1.7,2.7,-3,3,5,6,16,
rcp26,Eastern Asia, EAS, land,Annual,2100,-0.4,0.9,1.3,1.7,2.7,-4,2,5,7,21,
rcp26,Eastern Asia, EAS, land,BW,2035,0.3,0.6,1.1,1.4,2.0,-6,-1,2,4,8,
rcp26,Eastern Asia, EAS, land,BW,2065,-0.2,1.2,1.5,1.9,3.4,-6,1,4,10,15,
rcp26,Eastern Asia, EAS, land,BW,2100,-0.5,1.0,1.4,2.0,3.3,-5,2,6,11,22,
rcp26,Eastern Asia, EAS, land,BS,2035,0.2,0.8,0.9,1.1,1.7,-3,0,2,3,7,
rcp26,Eastern Asia, EAS, land,BS,2065,0.2,0.9,1.3,1.7,2.7,-1,3,5,6,17,
rcp26,Eastern Asia, EAS, land,BS,2100,-0.3,0.8,1.2,1.7,2.8,-4,2,5,7,20,
rcp26,Eastern North America, ENA, land,Annual,2035,0.3,0.8,1.0,1.2,1.9,-2,1,3,5,6,
rcp26,Eastern North America, ENA, land,Annual,2065,0.4,0.9,1.4,1.8,2.9,-1,2,4,6,11,
rcp26,Eastern North America, ENA, land,Annual,2100,0.0,0.9,1.2,1.8,3.2,-1,1,3,6,15,
rcp26,Eastern North America, ENA, land,BW,2035,-0.5,0.5,1.0,1.5,2.4,-5,0,4,6,9,
rcp26,Eastern North America, ENA, land,BW,2065,-0.1,0.8,1.4,2.1,3.5,-4,2,5,6,16,
rcp26,Eastern North America, ENA, land,BW,2100,-0.3,0.9,1.6,2.3,3.6,-4,0,3,7,16,
rcp26,Eastern North America, ENA, land,BS,2035,0.5,0.7,1.0,1.3,2.2,-3,0,3,5,6,
rcp26,Eastern North America, ENA, land,BS,2065,0.4,1.0,1.3,1.8,3.2,-5,2,3,7,12,
rcp26,Eastern North America, ENA, land,BS,2100,-0.1,0.9,1.2,1.7,3.6,-2,1,3,7,15,
rcp26,Equatorial Pacific, ETP, all,Annual,2035,0.3,0.5,0.6,0.8,1.1,-14,4,8,11,72,
rcp26,Equatorial Pacific, ETP, all,Annual,2065,0.4,0.7,0.8,1.0,1.6,-18,7,11,20,98,
rcp26,Equatorial Pacific, ETP, all,Annual,2100,0.0,0.6,0.8,1.1,2.1,-21,5,14,25,218,
rcp26,Equatorial Pacific, ETP, all,BW,2035,0.2,0.5,0.6,0.8,1.1,-25,3,7,10,78,
rcp26,Equatorial Pacific, ETP, all,BW,2065,0.4,0.7,0.8,1.1,1.6,-25,3,9,19,112,
rcp26,Equatorial Pacific, ETP, all,BW,2100,-0.1,0.6,0.9,1.1,2.2,-25,5,12,27,230,
rcp26,Equatorial Pacific, ETP, all,BS,2035,0.3,0.5,0.6,0.8,1.2,-31,4,10,15,68,
rcp26,Equatorial Pacific, ETP, all,BS,2065,0.4,0.7,0.8,1.0,1.8,-12,7,12,23,81,
rcp26,Equatorial Pacific, ETP, all,BS,2100,0.0,0.6,0.8,1.1,2.0,-16,7,15,25,199,
rcp26,Northern Europe, NEU, land,Annual,2035,0.1,0.6,1.2,1.5,2.4,-6,2,4,5,9,
rcp26,Northern Europe, NEU, land,Annual,2065,-1.9,1.3,1.6,2.0,3.2,-3,3,5,7,18,
rcp26,Northern Europe, NEU, land,Annual,2100,-5.2,1.1,1.5,2.1,3.3,-4,2,5,8,15,
rcp26,Northern Europe, NEU, land,BW,2035,-0.6,0.7,1.4,2.0,3.4,-5,1,4,7,15,
rcp26,Northern Europe, NEU, land,BW,2065,-2.7,1.3,2.1,2.5,4.1,-3,2,6,9,17,
rcp26,Northern Europe, NEU, land,BW,2100,-8.0,1.5,1.8,2.5,3.8,-3,3,5,11,16,
rcp26,Northern Europe, NEU, land,BS,2035,0.0,0.6,1.0,1.3,2.7,-8,0,3,5,10,
rcp26,Northern Europe, NEU, land,BS,2065,-1.1,0.9,1.3,2.0,3.6,-5,0,4,7,20,
rcp26,Northern Europe, NEU, land,BS,2100,-2.5,0.7,1.2,1.8,3.6,-12,2,4,7,14,
rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2035,0.4,1.0,1.2,1.4,2.7,-1,2,4,6,10,
rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2065,-1.1,1.3,1.8,2.4,4.4,-2,5,6,9,14,
rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,Annual,2100,-2.5,1.3,1.7,2.5,4.4,-4,4,7,9,16,
rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2035,0.2,1.2,1.5,1.8,3.3,-1,3,5,7,13,
rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2065,-1.1,1.9,2.3,3.0,5.3,-3,5,7,12,18,
rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BW,2100,-3.5,1.6,2.4,3.2,5.0,-9,4,9,13,20,
rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2035,0.3,0.7,1.0,1.3,2.5,-1,2,4,5,10,
rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2065,-0.4,0.8,1.4,1.7,3.9,0,4,5,8,13,
rcp26,High-latitudes: Canada/Greenland/Iceland, CGI, land,BS,2100,-1.2,0.7,1.2,1.9,4.1,-1,3,5,7,14,
rcp26,Alaska/NW Canada, ALA, land,Annual,2035,0.5,1.1,1.4,1.8,2.7,0,4,6,7,14,
rcp26,Alaska/NW Canada, ALA, land,Annual,2065,0.6,1.4,1.9,2.5,4.1,0,6,8,11,23,
rcp26,Alaska/NW Canada, ALA, land,Annual,2100,-0.5,1.2,1.9,2.6,4.0,-2,5,8,10,25,
rcp26,Alaska/NW Canada, ALA, land,BW,2035,0.3,1.1,2.0,2.6,3.5,-2,2,7,9,17,
rcp26,Alaska/NW Canada, ALA, land,BW,2065,0.3,1.8,2.7,3.4,5.6,-2,5,10,14,25,
rcp26,Alaska/NW Canada, ALA, land,BW,2100,0.2,1.6,2.3,3.6,5.8,-2,5,8,14,25,
rcp26,Alaska/NW Canada, ALA, land,BS,2035,0.3,0.7,0.9,1.5,3.1,-1,4,6,7,15,
rcp26,Alaska/NW Canada, ALA, land,BS,2065,0.4,0.8,1.5,2.1,3.5,-1,4,8,10,24,
rcp26,Alaska/NW Canada, ALA, land,BS,2100,-0.3,0.7,1.2,2.2,3.6,-7,5,7,11,27,
rcp26,North Asia, NAS, land,Annual,2035,0.3,0.9,1.3,1.7,2.9,2,3,5,8,14,
rcp26,North Asia, NAS, land,Annual,2065,-0.2,1.4,1.7,2.3,4.4,1,5,7,8,25,
rcp26,North Asia, NAS, land,Annual,2100,-1.7,1.2,1.6,2.4,4.3,-2,5,7,9,24,
